RD,R&M budget,capex_budget,recast_capex,Landscaping and Snow Removal,Supplies,Cleaning and Sanitation,Actuals Landscaping,Actuals Supplies,Actuals Cleaning
RD140,1977,4000,0,1818.165797,1837.566667,3434.583333,2952.51,2771.84,890.46
RD141,3000,6000,1625,0,6020.886859,5942.322586,0,9149.76,8780.52
RD142,2004,4000,666,2533.333333,1247.996053,13372.43798,4569.32,2020.09,4096.21
RD143,8447,20000,1334,3359.005499,4446,3150,8880,736.45,2336.69
RD144,3550,5000,1125,4404.166667,959.9326637,922.9512699,4876.64,1284.81,2777.4
RD145,2196,6500,5600,4331.529073,4108.75,1968.04,2236.44,949.21,1302.81
RD146,2063,8000,0,2281.813744,634.11,1237.5,1146,994.07,3134.09
RD147,6072,6000,541.6666667,250,2247.952301,3410.5,2977.16,1760.95,1495
RD148,1740,6500,1000,1970.171846,10901.375,2833.333333,2501.38,7120,2319.27
RD149,852,3500,0,0,0,866.6284,2926.35,3237.72,590.59
RD150,1644,5000,0,2041.354406,8402.5525,1170.11,2725.61,6471.56,539.07
RD151,2556,6000,0,8786.220223,3622.5,1564.471142,3924.89,1371.33,1985.35
RD152,8800,8000,667,2589.697627,595.5,1650,3765,1264.18,2072.79
RD153,4680,5000,333,2264.8,1481.009686,9478.054696,2023.4,9032.62,3894.28
RD154,2510,8000,333,2791.404387,3705,2880.433333,2416,497.7,1262.15
RD155,9851,6000,0,5562.433982,1854.806667,1225,3887.45,3189.94,2875
RD156,11145,8000,1625,5493.41625,733.3333333,0,2258.21,0,3814.81
RD157,14025,8000,25000,259.8573463,1128.125,925,2690,359.84,458.53
RD158,3420,6500,4999,5436.887529,2197.406667,2645.833333,9833.48,1890.83,2950.44
RD159,1800,4000,4700,2457.753333,3955.58959,6047.166011,1770.35,14575.66,3699.31
RD160,6656,8000,0,0,1137.5,1921.587064,0,0,3523.54
RD161,6883,6000,999,832.3533333,4401.15,2299.558467,1320.7,8549,3124.73
RD162,6102,8000,333,3346.666667,4416.468282,6391.326667,1065.14,2261.51,2327.73
RD163,6648,3000,0,0,14387.15843,7903.091424,4708.74,16603.28,3638
RD164,3096,6500,1998,5777.46616,3303.625,2581.493333,1808.93,1061.18,1523.07
RD165,9307,8000,0,396.2040149,1508.125,1019.193333,2030.29,271.8,661.05
RD166,6911,8000,333,2525.14,0,0,2201.99,2461.75,3161.75
RD167,996,3500,833.3333333,817,1151.666667,775,1153.17,984.34,1300
RD168,1716,5000,0,7720.902282,5198.175,516.06,7476.86,7482.3,1027.99
RD169,1812,3500,416.6666667,1309.34,1500,2331.996702,1633.31,712.75,2556.49
RD170,1332,4000,0,5997.929971,3258.5,3005.35,5658.08,1012.38,1598.78
RD171,8191,12000,834,5685.671467,3952,3104.166667,3840,785.95,643.71
RD172,3000,4000,300,21159.67164,5035.19,2000.86,23407.92,4275,1564.08
RD173,1800,4000,1083.333333,1300,3545.702633,452.2083333,3060.25,2046.54,1790
RD174,3000,4000,667,1620,32886.29205,11959.78667,3222.29,8177.13,7280
RD175,1800,5000,3335,1280.401843,6016.666667,1502.56,1861.08,2530.49,1964.7
RD176,4548,5000,416.6666667,2731.983333,2160,4049.539592,2535.79,9075,4966.97
RD177,4296,7500,0,31862.16958,3633.75,4058.266667,16405.93,2497.25,3226.19
RD178,3696,4500,1666,4761.271537,2169.623333,7543.336667,9860,6136.69,5623.33
RD179,8311,4000,0,12762.67673,9513.46,1404.393333,11728.67,11003.82,1900.59
RD180,4990,4000,0,1200,1408.977484,4571,1708.19,8245,1495
RD181,5450,4000,333.3333333,2508.093263,4661.388889,3361.944444,5899.7,4750,424.81
RD182,2124,6500,0,1790.28,1800,7602.811724,1492.99,2428.79,6807.77
RD183,1992,3500,0,1661.674381,1743.275,676.4066667,712.18,561.33,0
RD184,2812,8000,416.6666667,1100,498.6558875,7733.941667,272.44,1184.47,4083.42
RD185,3324,5000,7467,5411.984411,2143.4375,1050.42,773.57,448.46,1162.12
RD186,2604,6000,666.6666667,600,10066.12026,4817.390833,281,2205.6,1128.92
RD187,690,4000,0,750,2662.04943,12825,4363.56,2788,5566.4
RD188,5831,16000,0,6415.02,1440,13472.94291,2584.69,5342.61,13363.71
RD189,2850,4000,500,900,3576.865606,3622.5,3494,792,1890
RD190,4644,6500,0,0,15429.3985,5644.5725,1868.92,5271.36,941.39
RD191,1215,8000,0,6195.014342,6229.805556,2289.19,3994.22,3892.29,1664.74
RD192,2660,4000,1500,11572.35282,3161.943125,5594.444444,9084.43,9058.21,7129.17
RD193,4334,8000,36379,1952.42,300,5579.189727,955.13,1465.66,5038.42
RD194,0,0,16333.33333,0,1761.858205,672.749105,0,960.17,4550
RD195,1800,0,1000,4165.535783,5450.625,1178.25,3211.13,1929.9,1546.04
RD196,1764,0,0,1171.218262,7647.5,1581.85,2450.96,1375.04,2798.48
RD198,4465,8000,11066.32,1011.333333,6992.205128,3451.365651,1225,7388.9,960
RD200,1236,0,2668,15094.64609,3314.098452,1456.5248,729.8,2518.79,727.62
